time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20231102:0009,0.0,0.0,0.0,16.12,3.17,0.0,0.0
20231102:0109,0.0,0.0,0.0,15.68,3.45,0.0,0.0
20231102:0209,0.0,0.0,0.0,15.37,3.52,0.0,0.0
20231102:0309,0.0,0.0,0.0,15.07,3.66,0.0,0.0
20231102:0409,0.0,0.0,0.0,14.9,3.72,0.0,0.0
20231102:0509,0.0,0.0,0.0,14.72,3.86,0.0,0.0
20231102:0609,0.0,0.0,0.0,14.49,4.07,0.0,0.0
20231102:0709,61.65,94.45,5.82,14.95,4.97,0.0,0.061649999999999996
20231102:0809,134.44,169.36,16.36,16.39,5.24,0.0,0.13444
20231102:0909,343.54,401.86,25.63,18.5,6.21,0.0,0.34354
20231102:1009,651.13,761.48,32.92,20.42,6.76,0.0,0.65113
20231102:1109,551.96,649.3,37.38,22.09,7.38,0.0,0.55196
20231102:1209,741.57,880.18,38.23,23.29,7.86,0.0,0.7415700000000001
20231102:1309,704.12,832.07,35.31,23.51,8.41,0.0,0.70412
20231102:1409,572.74,672.02,29.18,22.92,8.41,0.0,0.57274
20231102:1509,135.09,173.3,20.69,22.1,8.21,0.0,0.13509000000000002
20231102:1609,33.24,54.4,10.64,20.62,7.66,0.0,0.03324
20231102:1709,0.0,0.0,0.0,19.33,7.17,0.0,0.0
20231102:1809,0.0,0.0,0.0,18.58,6.28,0.0,0.0
20231102:1909,0.0,0.0,0.0,18.59,6.34,0.0,0.0
20231102:2009,0.0,0.0,0.0,18.59,5.45,0.0,0.0
20231102:2109,0.0,0.0,0.0,18.19,4.21,0.0,0.0
20231102:2209,0.0,0.0,0.0,17.26,3.24,0.0,0.0
20231102:2309,0.0,0.0,0.0,16.87,2.48,0.0,0.0
20231103:0009,0.0,0.0,0.0,15.68,2.34,0.0,0.0
20231103:0109,0.0,0.0,0.0,15.38,2.34,0.0,0.0
20231103:0209,0.0,0.0,0.0,14.5,1.86,0.0,0.0
20231103:0309,0.0,0.0,0.0,13.82,2.0,0.0,0.0
20231103:0409,0.0,0.0,0.0,13.29,2.07,0.0,0.0
20231103:0509,0.0,0.0,0.0,12.92,2.07,0.0,0.0
20231103:0609,0.0,0.0,0.0,12.62,2.48,0.0,0.0
20231103:0709,3.4,12.62,5.61,12.56,2.34,0.0,0.0034
20231103:0809,141.45,175.78,16.13,13.47,2.62,0.0,0.14145
20231103:0909,548.63,639.48,25.37,15.98,3.31,0.0,0.54863
20231103:1009,440.66,514.23,32.63,17.17,3.79,0.0,0.44066000000000005
20231103:1109,717.34,849.66,37.06,18.31,4.21,0.0,0.71734
20231103:1209,736.74,877.06,37.92,19.17,4.34,0.0,0.7367400000000001
20231103:1309,665.8,789.29,35.02,19.86,4.48,0.0,0.6658
20231103:1409,603.22,714.52,28.91,20.22,4.21,0.0,0.60322
20231103:1509,382.92,456.27,20.46,20.17,4.21,0.0,0.38292000000000004
20231103:1609,168.47,222.23,10.43,19.66,4.14,0.0,0.16847
20231103:1709,0.0,0.0,0.0,18.73,3.66,0.0,0.0
