time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20200117:0110,0.0,0.0,0.0,-0.25,1.45,0.0,0.0
20200117:0210,0.0,0.0,0.0,0.0,1.38,0.0,0.0
20200117:0310,0.0,0.0,0.0,-0.21,1.45,0.0,0.0
20200117:0410,0.0,0.0,0.0,-0.09,1.38,0.0,0.0
20200117:0510,0.0,0.0,0.0,-0.08,1.45,0.0,0.0
20200117:0610,0.0,0.0,0.0,-0.25,1.45,0.0,0.0
20200117:0710,0.0,0.0,0.0,0.89,0.83,0.0,0.0
20200117:0810,152.38,206.85,8.89,0.51,0.97,0.0,0.15238
20200117:0910,344.33,404.54,16.0,2.48,0.55,0.0,0.34432999999999997
20200117:1010,275.79,321.2,21.16,5.11,0.34,0.0,0.27579000000000004
20200117:1110,273.69,320.37,23.86,6.35,0.21,0.0,0.27369
20200117:1210,312.49,364.58,23.79,6.92,0.55,0.0,0.31249
20200117:1310,575.26,691.52,20.96,7.04,0.76,0.0,0.57526
20200117:1410,488.04,575.95,15.7,7.14,0.9,0.0,0.48804000000000003
